Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Year
,,,0.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0,2.0,0.0,2020
,,,5.0,0.0,1.0,0.0,4.0,44.0,7.0,36.0,1.0,0.0,2020
,,,17.0,0.0,9.0,0.0,8.0,38.0,6.0,30.0,2.0,0.0,2020
,,,,49.0,196.0,376.0,,,,,,70.0,2020
,,,53.0,0.0,11.0,4.0,38.0,155.0,32.0,119.0,4.0,0.0,2020
,,,25.0,0.0,2.0,0.0,23.0,146.0,64.0,73.0,9.0,0.0,2020
,,,1.0,0.0,0.0,0.0,1.0,6.0,2.0,3.0,1.0,0.0,2020
,,,50.0,2.0,4.0,8.0,36.0,406.0,150.0,249.0,7.0,0.0,2020
,,,100.0,3.0,10.0,7.0,80.0,412.0,188.0,199.0,25.0,2.0,2020
,,,8.0,0.0,0.0,0.0,8.0,15.0,4.0,10.0,1.0,0.0,2020
,,,28.0,4.0,4.0,3.0,17.0,113.0,26.0,80.0,7.0,2.0,2020
,,,156.0,0.0,9.0,10.0,137.0,364.0,54.0,279.0,31.0,1.0,2020
,,,22.0,1.0,2.0,0.0,19.0,45.0,12.0,29.0,4.0,0.0,2020
,,,12.0,1.0,5.0,1.0,5.0,27.0,7.0,19.0,1.0,0.0,2020
,,,2.0,0.0,0.0,1.0,1.0,8.0,2.0,6.0,0.0,1.0,2020
,,,26.0,1.0,4.0,4.0,17.0,289.0,55.0,205.0,29.0,1.0,2020
,,,10.0,0.0,0.0,3.0,7.0,46.0,10.0,33.0,3.0,0.0,2020
,,,22.0,1.0,3.0,1.0,17.0,51.0,15.0,29.0,7.0,0.0,2020
,,667.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,2020
,,,14.0,0.0,7.0,0.0,7.0,210.0,20.0,183.0,7.0,0.0,2020
,,319.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,2020
,,,6.0,0.0,0.0,0.0,6.0,15.0,3.0,12.0,0.0,0.0,2020
,,,7.0,0.0,0.0,1.0,6.0,20.0,3.0,13.0,4.0,0.0,2020
,,,45.0,0.0,5.0,1.0,39.0,220.0,50.0,152.0,18.0,2.0,2020
,,,35.0,0.0,17.0,4.0,14.0,221.0,16.0,196.0,9.0,1.0,2020
,,,32.0,2.0,13.0,1.0,16.0,384.0,41.0,321.0,22.0,0.0,2020
,,,12.0,0.0,5.0,1.0,6.0,73.0,17.0,53.0,3.0,0.0,2020
,,,10.0,0.0,6.0,0.0,4.0,34.0,2.0,27.0,5.0,0.0,2020
,,,4.0,0.0,2.0,0.0,2.0,10.0,1.0,8.0,1.0,0.0,2020
,,,18.0,0.0,9.0,2.0,7.0,116.0,24.0,92.0,0.0,2.0,2020
,,,93.0,0.0,9.0,3.0,81.0,436.0,120.0,301.0,15.0,5.0,2020
,,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
,,,665.0,20.0,12.0,110.0,523.0,,366.0,,317.0,21.0,2020
,,,2.0,0.0,0.0,0.0,2.0,16.0,3.0,11.0,2.0,0.0,2020
,,,195.0,2.0,6.0,7.0,180.0,293.0,113.0,142.0,38.0,5.0,2020
,,,13.0,0.0,3.0,1.0,9.0,66.0,28.0,31.0,7.0,1.0,2020
