State,City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Year
,Peterborough,6479.0,5.0,0.0,1.0,1.0,3.0,27.0,3.0,23.0,1.0,1.0,2022
,Piermont,778.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,2022
,Pittsburg,806.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2022
,Pittsfield,4155.0,14.0,0.0,5.0,0.0,9.0,23.0,3.0,17.0,3.0,0.0,2022
,Plainfield,2505.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,12.0,0.0,0.0,2022
,Plaistow,7856.0,4.0,0.0,1.0,1.0,2.0,60.0,6.0,48.0,6.0,1.0,2022
,Plymouth,6658.0,13.0,0.0,4.0,2.0,7.0,91.0,4.0,84.0,3.0,0.0,2022
,Portsmouth,22513.0,40.0,0.0,10.0,2.0,28.0,282.0,12.0,252.0,18.0,2.0,2022
,Raymond,10996.0,16.0,0.0,10.0,1.0,5.0,64.0,2.0,57.0,5.0,1.0,2022
,Rindge,6633.0,2.0,0.0,1.0,0.0,1.0,32.0,5.0,26.0,1.0,13.0,2022
,Rochester,33098.0,63.0,0.0,19.0,4.0,40.0,574.0,91.0,450.0,33.0,2.0,2022
,Rollinsford,2646.0,5.0,0.0,1.0,1.0,3.0,18.0,2.0,13.0,3.0,0.0,2022
,Roxbury,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Rumney,1513.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2022
,Rye,5550.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,13.0,1.0,0.0,2022
,Salem,30712.0,29.0,0.0,9.0,11.0,9.0,436.0,16.0,400.0,20.0,1.0,2022
,Sanbornton,3072.0,1.0,0.0,0.0,0.0,1.0,10.0,2.0,8.0,0.0,0.0,2022
,Sandown,6575.0,2.0,0.0,2.0,0.0,0.0,20.0,2.0,17.0,1.0,0.0,2022
,Somersworth,12160.0,11.0,0.0,7.0,1.0,3.0,245.0,10.0,218.0,17.0,2.0,2022
,South Hampton,896.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2022
,Springfield,1316.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,0.0,0.0,2022
,Stoddard,1422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Strafford,4324.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2022
,Stratham,7844.0,1.0,0.0,0.0,0.0,1.0,18.0,1.0,16.0,1.0,0.0,2022
,Sugar Hill,662.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2022
,Sunapee,3457.0,1.0,0.0,1.0,0.0,0.0,17.0,2.0,15.0,0.0,1.0,2022
,Sutton,2038.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Swanzey,7468.0,17.0,0.0,9.0,1.0,7.0,37.0,18.0,19.0,0.0,0.0,2022
,Tamworth,2949.0,1.0,0.0,0.0,0.0,1.0,25.0,2.0,23.0,0.0,0.0,2022
,Thornton,2785.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,3.0,0.0,2022
,Tilton,4106.0,5.0,0.0,1.0,1.0,3.0,167.0,4.0,154.0,9.0,0.0,2022
,Tuftonboro,2614.0,2.0,0.0,2.0,0.0,0.0,16.0,2.0,14.0,0.0,0.0,2022
,Wakefield,6315.0,10.0,0.0,1.0,0.0,9.0,34.0,4.0,28.0,2.0,0.0,2022
,Warner,2969.0,1.0,0.0,0.0,0.0,1.0,20.0,0.0,19.0,1.0,0.0,2022
,Warren,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Washington,1221.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2022
,Waterville Valley,510.0,1.0,0.0,1.0,0.0,0.0,17.0,0.0,17.0,0.0,0.0,2022
,Weare,9213.0,7.0,0.0,6.0,0.0,1.0,25.0,1.0,20.0,4.0,0.0,2022
,Webster,1976.0,3.0,0.0,2.0,0.0,1.0,5.0,0.0,4.0,1.0,1.0,2022
,Wentworth,856.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2022
,Whitefield,2563.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,8.0,0.0,0.0,2022
,Wilmot,1444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Wilton,3994.0,11.0,0.0,2.0,0.0,9.0,25.0,3.0,20.0,2.0,2.0,2022
,Winchester,4246.0,3.0,1.0,0.0,1.0,1.0,34.0,7.0,23.0,4.0,3.0,2022
,Windham,15994.0,6.0,1.0,3.0,0.0,2.0,60.0,9.0,45.0,6.0,0.0,2022
,Wolfeboro,6710.0,5.0,0.0,2.0,0.0,3.0,42.0,2.0,37.0,3.0,0.0,2022
,Woodstock,1454.0,3.0,0.0,2.0,0.0,1.0,29.0,8.0,19.0,2.0,0.0,2022
NEW JERSEY,Aberdeen Township,19345.0,24.0,0.0,0.0,2.0,22.0,113.0,16.0,84.0,13.0,0.0,2022
,Absecon,9153.0,30.0,0.0,7.0,4.0,19.0,302.0,31.0,257.0,14.0,0.0,2022
,Allenhurst,470.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,7.0,1.0,0.0,2022
,Allentown,1737.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,2022
,Alpha,2348.0,2.0,0.0,1.0,0.0,1.0,24.0,2.0,21.0,1.0,0.0,2022
,Alpine,1743.0,0.0,0.0,0.0,0.0,0.0,34.0,10.0,11.0,13.0,0.0,2022
,Andover Township,6227.0,3.0,0.0,0.0,0.0,3.0,11.0,1.0,9.0,1.0,0.0,2022
,Asbury Park,15209.0,164.0,3.0,9.0,32.0,120.0,551.0,89.0,438.0,24.0,1.0,2022
,Atlantic City,38502.0,651.0,7.0,56.0,205.0,383.0,3093.0,738.0,2103.0,252.0,6.0,2022
,Atlantic Highlands,4416.0,3.0,1.0,0.0,0.0,2.0,20.0,3.0,17.0,0.0,0.0,2022
,Audubon,8665.0,10.0,0.0,0.0,5.0,5.0,261.0,16.0,238.0,7.0,0.0,2022
,Avalon,1209.0,1.0,0.0,0.0,0.0,1.0,95.0,15.0,75.0,5.0,0.0,2022
,Avon-by-the-Sea,1899.0,0.0,0.0,0.0,0.0,0.0,34.0,7.0,27.0,0.0,0.0,2022
,Barnegat Township,25142.0,18.0,0.0,4.0,1.0,13.0,108.0,11.0,93.0,4.0,0.0,2022
,Barrington,7013.0,9.0,0.0,0.0,1.0,8.0,101.0,6.0,86.0,9.0,0.0,2022
,Bayonne,66990.0,201.0,2.0,13.0,46.0,140.0,876.0,98.0,692.0,86.0,0.0,2022
,Beach Haven,1082.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,112.0,0.0,1.0,2022
,Beachwood,11188.0,10.0,0.0,0.0,1.0,9.0,102.0,17.0,79.0,6.0,0.0,2022
,Bedminster Township,8123.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,24.0,5.0,0.0,2022
,Belleville,37348.0,66.0,0.0,5.0,11.0,50.0,700.0,39.0,524.0,137.0,0.0,2022
,Bellmawr,11645.0,20.0,0.0,0.0,4.0,16.0,211.0,25.0,178.0,8.0,2.0,2022
,Belmar,5868.0,4.0,0.0,1.0,0.0,3.0,118.0,12.0,103.0,3.0,0.0,2022
,Belvidere,2531.0,3.0,0.0,1.0,1.0,1.0,38.0,6.0,31.0,1.0,0.0,2022
,Bergenfield,28082.0,12.0,0.0,1.0,2.0,9.0,89.0,9.0,62.0,18.0,0.0,2022
,Berkeley Heights Township,13096.0,2.0,0.0,0.0,0.0,2.0,68.0,10.0,48.0,10.0,1.0,2022
,Berkeley Township,45006.0,65.0,0.0,15.0,4.0,46.0,291.0,39.0,242.0,10.0,1.0,2022
,Berlin,7522.0,6.0,0.0,0.0,0.0,6.0,127.0,19.0,100.0,8.0,0.0,2022
,Bernards Township,27682.0,1.0,0.0,0.0,1.0,0.0,66.0,8.0,45.0,13.0,0.0,2022
,Bernardsville,7786.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,20.0,6.0,0.0,2022
,Beverly,2487.0,20.0,1.0,0.0,1.0,18.0,31.0,2.0,26.0,3.0,0.0,2022
,Blairstown Township,5766.0,3.0,0.0,1.0,0.0,2.0,16.0,3.0,9.0,4.0,0.0,2022
,Bloomfield,52663.0,46.0,1.0,0.0,9.0,36.0,640.0,30.0,494.0,116.0,0.0,2022
,Bloomingdale,7616.0,5.0,0.0,2.0,0.0,3.0,23.0,5.0,17.0,1.0,0.0,2022
,Boonton,8805.0,6.0,0.0,1.0,1.0,4.0,81.0,10.0,64.0,7.0,0.0,2022
,Boonton Township,4387.0,3.0,0.0,2.0,0.0,1.0,9.0,0.0,9.0,0.0,0.0,2022
,Bound Brook,11948.0,13.0,0.0,0.0,6.0,7.0,123.0,9.0,106.0,8.0,0.0,2022
,Bradley Beach,4267.0,2.0,0.0,0.0,0.0,2.0,63.0,2.0,58.0,3.0,0.0,2022
,Branchburg Township,14690.0,10.0,0.0,5.0,0.0,5.0,101.0,11.0,83.0,7.0,1.0,2022
,Brick Township,76287.0,106.0,0.0,17.0,6.0,83.0,801.0,112.0,672.0,17.0,3.0,2022
,Bridgeton,26524.0,187.0,1.0,22.0,78.0,86.0,845.0,111.0,689.0,45.0,3.0,2022
,Brielle,4985.0,4.0,0.0,0.0,0.0,4.0,19.0,1.0,16.0,2.0,0.0,2022
,Brigantine,7642.0,6.0,0.0,0.0,0.0,6.0,74.0,10.0,62.0,2.0,1.0,2022
,Brooklawn,1802.0,17.0,0.0,1.0,3.0,13.0,184.0,18.0,149.0,17.0,0.0,2022
,Burlington Township,23927.0,23.0,0.0,4.0,3.0,16.0,232.0,35.0,179.0,18.0,1.0,2022
,Butler,8203.0,1.0,0.0,0.0,0.0,1.0,40.0,6.0,32.0,2.0,0.0,2022
,Caldwell,8734.0,4.0,0.0,0.0,0.0,4.0,37.0,1.0,33.0,3.0,0.0,2022
,Califon,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
,Camden County Police Department,71616.0,1125.0,28.0,52.0,244.0,801.0,1970.0,316.0,1222.0,432.0,32.0,2022
,Cape May,2845.0,6.0,0.0,0.0,0.0,6.0,108.0,3.0,100.0,5.0,0.0,2022
,Carlstadt,6316.0,3.0,0.0,0.0,1.0,2.0,128.0,3.0,108.0,17.0,0.0,2022
,Carney's Point Township,8763.0,22.0,0.0,5.0,4.0,13.0,79.0,9.0,62.0,8.0,1.0,2022
,Cedar Grove Township,13822.0,4.0,0.0,0.0,1.0,3.0,78.0,7.0,55.0,16.0,0.0,2022
,Chatham,9307.0,1.0,0.0,0.0,0.0,1.0,67.0,9.0,36.0,22.0,0.0,2022
,Chatham Township,10897.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,19.0,3.0,0.0,2022
,Cherry Hill Township,76401.0,112.0,1.0,0.0,60.0,51.0,2416.0,99.0,2199.0,118.0,0.0,2022
,Chesilhurst,1543.0,2.0,0.0,0.0,0.0,2.0,14.0,5.0,7.0,2.0,0.0,2022
,Chester,1676.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,19.0,0.0,0.0,2022
,Chester Township,7711.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,27.0,1.0,0.0,2022
,Clark Township,15308.0,8.0,0.0,1.0,2.0,5.0,276.0,13.0,243.0,20.0,0.0,2022
,Clayton,9017.0,12.0,0.0,1.0,0.0,11.0,40.0,9.0,27.0,4.0,0.0,2022
,Clementon,5318.0,14.0,0.0,0.0,9.0,5.0,125.0,32.0,92.0,1.0,0.0,2022
,Cliffside Park,25531.0,7.0,0.0,3.0,3.0,1.0,107.0,3.0,101.0,3.0,0.0,2022
,Clifton,88768.0,93.0,2.0,7.0,41.0,43.0,1714.0,104.0,1420.0,190.0,0.0,2022
,Clinton,2795.0,3.0,0.0,0.0,0.0,3.0,9.0,1.0,7.0,1.0,0.0,2022
,Clinton Township,13759.0,3.0,0.0,0.0,0.0,3.0,57.0,21.0,34.0,2.0,0.0,2022
,Closter,8474.0,0.0,0.0,0.0,0.0,0.0,61.0,6.0,45.0,10.0,0.0,2022
,Collingswood,14108.0,31.0,0.0,0.0,6.0,25.0,427.0,91.0,315.0,21.0,0.0,2022
,Colts Neck Township,9967.0,1.0,0.0,1.0,0.0,0.0,77.0,17.0,38.0,22.0,0.0,2022
,Cranbury Township,3989.0,1.0,0.0,0.0,0.0,1.0,39.0,4.0,32.0,3.0,0.0,2022
,Cranford Township,24133.0,9.0,0.0,3.0,0.0,6.0,244.0,71.0,144.0,29.0,3.0,2022
,Cresskill,9069.0,1.0,0.0,0.0,1.0,0.0,32.0,4.0,13.0,15.0,0.0,2022
,Deal,892.0,1.0,0.0,0.0,0.0,1.0,35.0,3.0,19.0,13.0,0.0,2022
,Delanco Township,4805.0,8.0,0.0,1.0,1.0,6.0,41.0,10.0,29.0,2.0,0.0,2022
,Delaware Township,4589.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,4.0,1.0,0.0,2022
,Delran Township,17822.0,12.0,0.0,3.0,2.0,7.0,216.0,7.0,190.0,19.0,1.0,2022
,Demarest,4812.0,1.0,0.0,1.0,0.0,0.0,31.0,4.0,17.0,10.0,0.0,2022
,Denville Township,17119.0,0.0,0.0,0.0,0.0,0.0,94.0,12.0,66.0,16.0,0.0,2022
,Deptford Township,32429.0,77.0,1.0,11.0,24.0,41.0,1316.0,89.0,1185.0,42.0,0.0,2022
,Dumont,18533.0,7.0,1.0,0.0,0.0,6.0,62.0,2.0,57.0,3.0,0.0,2022
,Dunellen,7525.0,3.0,0.0,0.0,0.0,3.0,62.0,7.0,53.0,2.0,0.0,2022
,Eastampton Township,6319.0,11.0,0.0,2.0,3.0,6.0,67.0,2.0,61.0,4.0,1.0,2022
,East Brunswick Township,49038.0,45.0,1.0,8.0,8.0,28.0,640.0,75.0,526.0,39.0,4.0,2022
,East Hanover Township,11103.0,1.0,0.0,0.0,1.0,0.0,170.0,14.0,148.0,8.0,0.0,2022
,East Newark,2383.0,5.0,0.0,0.0,1.0,4.0,13.0,0.0,11.0,2.0,0.0,2022
,East Rutherford,9904.0,8.0,0.0,1.0,2.0,5.0,167.0,8.0,138.0,21.0,0.0,2022
,East Windsor Township,29788.0,12.0,0.0,1.0,2.0,9.0,236.0,20.0,199.0,17.0,0.0,2022
,Eatontown,13607.0,28.0,0.0,3.0,9.0,16.0,242.0,21.0,204.0,17.0,1.0,2022
,Edgewater,14793.0,8.0,0.0,2.0,1.0,5.0,182.0,18.0,140.0,24.0,1.0,2022
,Edison Township,108050.0,177.0,0.0,8.0,41.0,128.0,1827.0,192.0,1476.0,159.0,4.0,2022
,Egg Harbor City,4402.0,11.0,0.0,0.0,3.0,8.0,120.0,14.0,99.0,7.0,4.0,2022
,Egg Harbor Township,47747.0,37.0,1.0,5.0,11.0,20.0,1032.0,165.0,826.0,41.0,4.0,2022
,Elizabeth,134065.0,644.0,2.0,50.0,228.0,364.0,3421.0,300.0,2426.0,695.0,5.0,2022
,Elmwood Park,21154.0,40.0,0.0,6.0,6.0,28.0,283.0,35.0,215.0,33.0,6.0,2022
,Englewood,28975.0,105.0,0.0,7.0,23.0,75.0,338.0,37.0,247.0,54.0,2.0,2022
,Englewood Cliffs,5352.0,0.0,0.0,0.0,0.0,0.0,86.0,8.0,42.0,36.0,0.0,2022
,Englishtown,2362.0,1.0,0.0,0.0,1.0,0.0,17.0,3.0,12.0,2.0,0.0,2022
,Essex Fells,2144.0,2.0,0.0,1.0,0.0,1.0,33.0,4.0,26.0,3.0,0.0,2022
,Evesham Township,49166.0,33.0,1.0,6.0,2.0,24.0,515.0,34.0,454.0,27.0,3.0,2022
,Ewing Township,37408.0,76.0,2.0,13.0,20.0,41.0,955.0,55.0,826.0,74.0,7.0,2022
,"Fairfield Township, Essex County",7777.0,2.0,1.0,0.0,0.0,1.0,83.0,7.0,64.0,12.0,0.0,2022
,Fair Haven,6156.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,20.0,5.0,0.0,2022
,Fair Lawn,35424.0,18.0,0.0,1.0,5.0,12.0,255.0,26.0,207.0,22.0,3.0,2022
,Fairview,14850.0,12.0,0.0,0.0,2.0,10.0,149.0,19.0,125.0,5.0,0.0,2022
,Flemington,4923.0,6.0,0.0,0.0,1.0,5.0,112.0,12.0,92.0,8.0,1.0,2022
,Florence Township,12747.0,7.0,1.0,0.0,0.0,6.0,15.0,5.0,8.0,2.0,0.0,2022
,Florham Park,13685.0,4.0,0.0,2.0,0.0,2.0,53.0,4.0,39.0,10.0,0.0,2022
,Fort Lee,39636.0,61.0,0.0,0.0,17.0,44.0,538.0,77.0,391.0,70.0,2.0,2022
,Franklin,4983.0,3.0,0.0,0.0,0.0,3.0,59.0,5.0,54.0,0.0,0.0,2022
,Franklin Lakes,10899.0,2.0,0.0,0.0,0.0,2.0,115.0,20.0,72.0,23.0,0.0,2022
,"Franklin Township, Gloucester County",16579.0,26.0,1.0,1.0,3.0,21.0,206.0,62.0,119.0,25.0,1.0,2022
,"Franklin Township, Hunterdon County",3303.0,1.0,0.0,0.0,0.0,1.0,26.0,1.0,23.0,2.0,0.0,2022
,"Franklin Township, Somerset County",68782.0,67.0,1.0,7.0,19.0,40.0,598.0,51.0,472.0,75.0,0.0,2022
,Freehold Township,35791.0,31.0,0.0,4.0,4.0,23.0,550.0,36.0,477.0,37.0,0.0,2022
,Frenchtown,1387.0,2.0,0.0,0.0,0.0,2.0,20.0,2.0,17.0,1.0,1.0,2022
,Galloway Township,37961.0,62.0,0.0,7.0,5.0,50.0,520.0,106.0,376.0,38.0,2.0,2022
,Garfield,32351.0,36.0,0.0,3.0,9.0,24.0,499.0,32.0,431.0,36.0,1.0,2022
,Garwood,4358.0,2.0,0.0,0.0,0.0,2.0,19.0,1.0,18.0,0.0,0.0,2022
,Gibbsboro,2208.0,1.0,0.0,0.0,0.0,1.0,50.0,4.0,44.0,2.0,0.0,2022
,Glassboro,21115.0,49.0,0.0,6.0,7.0,36.0,318.0,65.0,229.0,24.0,1.0,2022
,Glen Ridge,7620.0,4.0,0.0,1.0,1.0,2.0,106.0,9.0,82.0,15.0,0.0,2022
,Glen Rock,12017.0,4.0,0.0,0.0,3.0,1.0,57.0,7.0,42.0,8.0,0.0,2022
,Gloucester City,11430.0,27.0,0.0,0.0,4.0,23.0,297.0,23.0,271.0,3.0,0.0,2022
,Gloucester Township,65848.0,82.0,2.0,5.0,8.0,67.0,737.0,60.0,602.0,75.0,1.0,2022
,Green Brook Township,7314.0,2.0,0.0,0.0,0.0,2.0,44.0,13.0,25.0,6.0,0.0,2022
,"Greenwich Township, Gloucester County",5018.0,0.0,0.0,0.0,0.0,0.0,52.0,4.0,47.0,1.0,0.0,2022
,"Greenwich Township, Warren County",5490.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,72.0,1.0,0.0,2022
,Hackensack,45413.0,94.0,0.0,10.0,14.0,70.0,1097.0,75.0,943.0,79.0,1.0,2022
,Hackettstown,10389.0,3.0,0.0,0.0,2.0,1.0,45.0,6.0,36.0,3.0,0.0,2022
,Haddonfield,12467.0,4.0,0.0,0.0,3.0,1.0,151.0,29.0,113.0,9.0,0.0,2022
,Haddon Heights,7461.0,3.0,0.0,0.0,1.0,2.0,58.0,9.0,46.0,3.0,0.0,2022
,Haledon,8848.0,2.0,0.0,1.0,1.0,0.0,166.0,15.0,140.0,11.0,0.0,2022
,Hamburg,3311.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,6.0,1.0,0.0,2022
,"Hamilton Township, Atlantic County",28658.0,44.0,0.0,5.0,8.0,31.0,508.0,37.0,454.0,17.0,0.0,2022
,"Hamilton Township, Mercer County",91408.0,203.0,1.0,20.0,54.0,128.0,1647.0,169.0,1369.0,109.0,4.0,2022
,Hammonton,14861.0,44.0,0.0,1.0,4.0,39.0,104.0,13.0,78.0,13.0,1.0,2022
,Hanover Township,14630.0,9.0,0.0,0.0,2.0,7.0,195.0,7.0,178.0,10.0,0.0,2022
,Harding Township,3883.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,24.0,1.0,0.0,2022
,Hardyston Township,8351.0,3.0,0.0,3.0,0.0,0.0,41.0,8.0,30.0,3.0,0.0,2022
,Harrison,18999.0,57.0,0.0,5.0,18.0,34.0,395.0,16.0,333.0,46.0,0.0,2022
,Harrison Township,13886.0,14.0,0.0,0.0,1.0,13.0,65.0,11.0,48.0,6.0,1.0,2022
,Hasbrouck Heights,12005.0,3.0,0.0,0.0,2.0,1.0,76.0,1.0,74.0,1.0,1.0,2022
,Hawthorne,19163.0,4.0,0.0,0.0,2.0,2.0,156.0,8.0,128.0,20.0,0.0,2022
,Hazlet Township,20547.0,13.0,1.0,1.0,1.0,10.0,174.0,19.0,148.0,7.0,0.0,2022
,Helmetta,2426.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2022
,High Bridge,3641.0,2.0,0.0,0.0,0.0,2.0,23.0,5.0,16.0,2.0,0.0,2022
,Highland Park,14914.0,20.0,0.0,2.0,5.0,13.0,129.0,10.0,105.0,14.0,1.0,2022
,Highlands,4654.0,8.0,0.0,0.0,0.0,8.0,12.0,0.0,12.0,0.0,0.0,2022
,Hightstown,5859.0,7.0,0.0,0.0,2.0,5.0,40.0,7.0,30.0,3.0,0.0,2022
,Hillsborough Township,42893.0,6.0,0.0,0.0,0.0,6.0,129.0,19.0,97.0,13.0,1.0,2022
,Hillsdale,10011.0,1.0,0.0,0.0,0.0,1.0,33.0,1.0,28.0,4.0,0.0,2022
,Hillside Township,22026.0,53.0,0.0,5.0,19.0,29.0,635.0,45.0,464.0,126.0,1.0,2022
,Hi-Nella,923.0,3.0,0.0,0.0,0.0,3.0,14.0,6.0,8.0,0.0,0.0,2022
,Hoboken,56882.0,88.0,1.0,4.0,16.0,67.0,880.0,81.0,741.0,58.0,0.0,2022
,Holmdel Township,17421.0,1.0,0.0,0.0,0.0,1.0,185.0,11.0,149.0,25.0,0.0,2022
,Hopatcong,14561.0,14.0,0.0,4.0,1.0,9.0,28.0,5.0,20.0,3.0,0.0,2022
,Hopewell Township,17339.0,9.0,2.0,2.0,1.0,4.0,99.0,18.0,77.0,4.0,1.0,2022
,Howell Township,54073.0,42.0,0.0,3.0,3.0,36.0,442.0,49.0,378.0,15.0,1.0,2022
,Independence Township,5510.0,2.0,0.0,0.0,1.0,1.0,7.0,1.0,4.0,2.0,0.0,2022
,Jackson Township,60762.0,21.0,1.0,8.0,0.0,12.0,263.0,26.0,217.0,20.0,1.0,2022
,Jamesburg,5703.0,5.0,1.0,0.0,0.0,4.0,8.0,0.0,8.0,0.0,0.0,2022
,Jefferson Township,20498.0,4.0,0.0,0.0,0.0,4.0,38.0,2.0,35.0,1.0,0.0,2022
,Jersey City,276300.0,609.0,12.0,39.0,89.0,469.0,3825.0,61.0,3125.0,639.0,3.0,2022
,Keansburg,9757.0,35.0,1.0,0.0,2.0,32.0,131.0,21.0,102.0,8.0,2.0,2022
,Kearny,38906.0,47.0,1.0,0.0,33.0,13.0,867.0,30.0,724.0,113.0,0.0,2022
,Kenilworth,8280.0,1.0,0.0,0.0,0.0,1.0,96.0,8.0,81.0,7.0,0.0,2022
,Kinnelon,9983.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,23.0,6.0,0.0,2022
,Lacey Township,29903.0,45.0,1.0,2.0,3.0,39.0,220.0,23.0,191.0,6.0,0.0,2022
,Lakehurst,2708.0,6.0,0.0,1.0,0.0,5.0,24.0,5.0,19.0,0.0,1.0,2022
,Lakewood Township,141190.0,123.0,0.0,14.0,25.0,84.0,914.0,151.0,661.0,102.0,17.0,2022
,Lambertville,4173.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,2022
,Laurel Springs,1971.0,4.0,0.0,0.0,1.0,3.0,15.0,2.0,12.0,1.0,0.0,2022
,Lavallette,1852.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,9.0,1.0,0.0,2022
,Lawnside,3343.0,4.0,0.0,0.0,1.0,3.0,163.0,5.0,156.0,2.0,0.0,2022
,"Lawrence Township, Mercer County",32949.0,14.0,0.0,4.0,10.0,0.0,524.0,51.0,450.0,23.0,1.0,2022
,Lebanon Township,6243.0,2.0,0.0,1.0,0.0,1.0,18.0,2.0,15.0,1.0,0.0,2022
,Leonia,9198.0,4.0,1.0,0.0,0.0,3.0,80.0,19.0,57.0,4.0,0.0,2022
,Lincoln Park,10904.0,4.0,0.0,3.0,0.0,1.0,74.0,9.0,59.0,6.0,0.0,2022
,Linden,43652.0,141.0,0.0,16.0,35.0,90.0,1307.0,89.0,1098.0,120.0,1.0,2022
,Lindenwold,21524.0,83.0,2.0,6.0,15.0,60.0,408.0,97.0,259.0,52.0,3.0,2022
,Linwood,6950.0,2.0,0.0,2.0,0.0,0.0,54.0,5.0,46.0,3.0,0.0,2022
,Little Falls Township,13220.0,14.0,1.0,1.0,1.0,11.0,109.0,12.0,84.0,13.0,0.0,2022
,Little Silver,6050.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,27.0,7.0,0.0,2022
,Livingston Township,30844.0,7.0,0.0,1.0,4.0,2.0,313.0,21.0,251.0,41.0,0.0,2022
,Lodi,25788.0,34.0,2.0,3.0,4.0,25.0,334.0,24.0,272.0,38.0,1.0,2022
,Logan Township,6103.0,5.0,0.0,0.0,0.0,5.0,95.0,1.0,80.0,14.0,1.0,2022
,Long Branch,33094.0,62.0,0.0,11.0,7.0,44.0,421.0,54.0,339.0,28.0,1.0,2022
,Long Hill Township,8610.0,1.0,0.0,0.0,0.0,1.0,50.0,5.0,41.0,4.0,0.0,2022
,Longport,879.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,2022
,Lopatcong Township,10057.0,3.0,0.0,0.0,2.0,1.0,45.0,8.0,35.0,2.0,0.0,2022
,Lower Township,22238.0,34.0,0.0,4.0,4.0,26.0,164.0,20.0,139.0,5.0,3.0,2022
,Lyndhurst Township,22183.0,12.0,0.0,0.0,4.0,8.0,211.0,11.0,182.0,18.0,1.0,2022
,Mahwah Township,25150.0,6.0,0.0,0.0,4.0,2.0,102.0,9.0,78.0,15.0,0.0,2022
,Manalapan Township,40897.0,10.0,0.0,3.0,3.0,4.0,225.0,44.0,145.0,36.0,0.0,2022
,Manasquan,5949.0,1.0,0.0,1.0,0.0,0.0,80.0,9.0,68.0,3.0,1.0,2022
,Manchester Township,46265.0,24.0,0.0,6.0,4.0,14.0,196.0,31.0,145.0,20.0,6.0,2022
,"Mansfield Township, Warren County",7846.0,0.0,0.0,0.0,0.0,0.0,95.0,3.0,88.0,4.0,0.0,2022
,Manville,10763.0,9.0,1.0,4.0,0.0,4.0,128.0,12.0,106.0,10.0,0.0,2022
,Maple Shade Township,19911.0,60.0,3.0,7.0,14.0,36.0,444.0,62.0,324.0,58.0,1.0,2022
,Maplewood Township,25088.0,26.0,0.0,1.0,17.0,8.0,353.0,24.0,235.0,94.0,1.0,2022
,Margate City,5202.0,3.0,0.0,0.0,1.0,2.0,78.0,11.0,60.0,7.0,0.0,2022
,Marlboro Township,41576.0,24.0,1.0,2.0,3.0,18.0,474.0,50.0,326.0,98.0,0.0,2022
