State,City,Year,Population,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ARIZONA,Tempe,2020,199935.0,1100.0,8.0,155.0,248.0,689.0,7124.0,960.0,5464.0,700.0,
ARIZONA,Tolleson,2020,7470.0,90.0,0.0,4.0,18.0,68.0,909.0,200.0,612.0,97.0,2.0
ARIZONA,Tucson,2020,550448.0,3843.0,61.0,463.0,978.0,2341.0,19931.0,2097.0,15956.0,1878.0,246.0
ARIZONA,Wellton,2020,3062.0,3.0,0.0,0.0,0.0,3.0,26.0,11.0,15.0,0.0,0.0
ARIZONA,Wickenburg,2020,7041.0,20.0,0.0,4.0,0.0,16.0,158.0,12.0,128.0,18.0,2.0
ARIZONA,Willcox,2020,3509.0,5.0,0.0,0.0,0.0,5.0,138.0,37.0,88.0,13.0,
ARIZONA,Williams,2020,3271.0,44.0,0.0,1.0,1.0,42.0,69.0,9.0,56.0,4.0,
ARIZONA,Winslow,2020,9298.0,107.0,2.0,6.0,5.0,94.0,345.0,48.0,271.0,26.0,2.0
ARIZONA,Yuma,2020,99096.0,498.0,11.0,39.0,43.0,405.0,1927.0,330.0,1412.0,185.0,25.0
ARKANSAS,Alexander,2020,3524.0,41.0,1.0,7.0,0.0,33.0,96.0,37.0,53.0,6.0,3.0
ARKANSAS,Alma,2020,5904.0,20.0,0.0,9.0,0.0,11.0,152.0,30.0,119.0,3.0,1.0
ARKANSAS,Altus,2020,726.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0
ARKANSAS,Amity,2020,681.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ARKANSAS,Arkadelphia,2020,10732.0,48.0,0.0,1.0,4.0,43.0,227.0,35.0,185.0,7.0,1.0
ARKANSAS,Ashdown,2020,4367.0,8.0,2.0,0.0,1.0,5.0,110.0,22.0,76.0,12.0,0.0
ARKANSAS,Ash Flat,2020,1099.0,2.0,0.0,1.0,0.0,1.0,54.0,9.0,45.0,0.0,0.0
ARKANSAS,Atkins,2020,3040.0,7.0,0.0,4.0,0.0,3.0,72.0,18.0,52.0,2.0,1.0
ARKANSAS,Augusta,2020,1917.0,6.0,0.0,2.0,1.0,3.0,15.0,7.0,7.0,1.0,1.0
ARKANSAS,Austin,2020,4401.0,11.0,0.0,4.0,0.0,7.0,62.0,36.0,22.0,4.0,0.0
ARKANSAS,Bald Knob,2020,2864.0,14.0,1.0,3.0,0.0,10.0,105.0,34.0,67.0,4.0,1.0
ARKANSAS,Barling,2020,5076.0,24.0,0.0,3.0,0.0,21.0,75.0,17.0,54.0,4.0,0.0
ARKANSAS,Batesville,2020,10938.0,35.0,2.0,14.0,1.0,18.0,256.0,31.0,202.0,23.0,0.0
ARKANSAS,Bay,2020,1823.0,9.0,0.0,3.0,0.0,6.0,15.0,4.0,10.0,1.0,0.0
ARKANSAS,Beebe,2020,8268.0,29.0,0.0,8.0,1.0,20.0,193.0,38.0,138.0,17.0,1.0
ARKANSAS,Bella Vista,2020,29138.0,55.0,0.0,14.0,2.0,39.0,170.0,25.0,141.0,4.0,0.0
ARKANSAS,Benton,2020,37542.0,215.0,0.0,19.0,21.0,175.0,1241.0,181.0,942.0,118.0,5.0
ARKANSAS,Bentonville,2020,57575.0,183.0,0.0,23.0,6.0,154.0,857.0,94.0,707.0,56.0,1.0
ARKANSAS,Berryville,2020,5577.0,12.0,0.0,1.0,3.0,8.0,145.0,23.0,113.0,9.0,0.0
ARKANSAS,Blytheville,2020,13239.0,158.0,18.0,10.0,21.0,109.0,705.0,83.0,600.0,22.0,1.0
ARKANSAS,Bono,2020,2517.0,5.0,0.0,3.0,0.0,2.0,19.0,1.0,15.0,3.0,1.0
ARKANSAS,Booneville,2020,3765.0,13.0,0.0,1.0,0.0,12.0,76.0,17.0,54.0,5.0,0.0
ARKANSAS,Bradford,2020,734.0,5.0,0.0,2.0,0.0,3.0,7.0,0.0,6.0,1.0,0.0
ARKANSAS,Brinkley,2020,2531.0,19.0,1.0,0.0,2.0,16.0,87.0,21.0,51.0,15.0,1.0
ARKANSAS,Bryant,2020,21497.0,39.0,0.0,9.0,4.0,26.0,807.0,50.0,721.0,36.0,0.0
ARKANSAS,Bull Shoals,2020,1945.0,7.0,0.0,2.0,1.0,4.0,25.0,7.0,18.0,0.0,0.0
ARKANSAS,Cabot,2020,26593.0,102.0,0.0,28.0,10.0,64.0,372.0,75.0,253.0,44.0,1.0
ARKANSAS,Caddo Valley,2020,637.0,2.0,0.0,0.0,0.0,2.0,35.0,7.0,24.0,4.0,0.0
ARKANSAS,Camden,2020,10605.0,114.0,1.0,5.0,8.0,100.0,323.0,87.0,217.0,19.0,2.0
ARKANSAS,Cammack Village,2020,713.0,1.0,0.0,0.0,0.0,1.0,21.0,0.0,20.0,1.0,0.0
ARKANSAS,Caraway,2020,1283.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,8.0,1.0,2.0
ARKANSAS,Carlisle,2020,2149.0,2.0,0.0,1.0,0.0,1.0,68.0,15.0,48.0,5.0,0.0
ARKANSAS,Charleston,2020,2462.0,3.0,0.0,1.0,0.0,2.0,33.0,8.0,23.0,2.0,0.0
ARKANSAS,Cherokee Village,2020,4657.0,11.0,2.0,2.0,0.0,7.0,88.0,37.0,44.0,7.0,2.0
ARKANSAS,Cherry Valley,2020,576.0,1.0,0.0,0.0,0.0,1.0,10.0,1.0,8.0,1.0,0.0
ARKANSAS,Clarendon,2020,1330.0,6.0,0.0,1.0,0.0,5.0,50.0,24.0,24.0,2.0,0.0
ARKANSAS,Clarksville,2020,9829.0,33.0,1.0,11.0,2.0,19.0,247.0,25.0,199.0,23.0,0.0
ARKANSAS,Clinton,2020,2505.0,4.0,0.0,0.0,0.0,4.0,47.0,8.0,37.0,2.0,0.0
ARKANSAS,Conway,2020,68599.0,359.0,3.0,45.0,29.0,282.0,1915.0,159.0,1628.0,128.0,7.0
ARKANSAS,Corning,2020,3018.0,6.0,0.0,1.0,0.0,5.0,45.0,9.0,27.0,9.0,0.0
ARKANSAS,Cotter,2020,949.0,2.0,0.0,0.0,0.0,2.0,21.0,4.0,15.0,2.0,0.0
ARKANSAS,Crossett,2020,4723.0,33.0,1.0,3.0,1.0,28.0,155.0,47.0,98.0,10.0,0.0
ARKANSAS,Damascus,2020,382.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0
ARKANSAS,Danville,2020,2391.0,7.0,0.0,1.0,1.0,5.0,23.0,11.0,12.0,0.0,0.0
ARKANSAS,Dardanelle,2020,4520.0,31.0,0.0,5.0,3.0,23.0,77.0,28.0,48.0,1.0,0.0
ARKANSAS,Decatur,2020,1801.0,18.0,0.0,4.0,1.0,13.0,45.0,6.0,34.0,5.0,0.0
ARKANSAS,De Queen,2020,6526.0,26.0,0.0,4.0,3.0,19.0,182.0,59.0,112.0,11.0,0.0
ARKANSAS,Des Arc,2020,1568.0,11.0,0.0,2.0,0.0,9.0,13.0,2.0,10.0,1.0,0.0
ARKANSAS,DeWitt,2020,2976.0,19.0,0.0,2.0,0.0,17.0,74.0,16.0,56.0,2.0,2.0
ARKANSAS,Diamond City,2020,802.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0
ARKANSAS,Diaz,2020,1196.0,4.0,0.0,0.0,0.0,4.0,5.0,1.0,3.0,1.0,1.0
ARKANSAS,Dover,2020,1446.0,7.0,0.0,1.0,0.0,6.0,31.0,7.0,20.0,4.0,0.0
ARKANSAS,Dumas,2020,3984.0,32.0,0.0,3.0,5.0,24.0,31.0,13.0,18.0,0.0,0.0
